DATE,DGS3MO
2010-01-01,0.06157894736842105263
2010-02-01,0.10894736842105263158
2010-03-01,0.15043478260869565217
2010-04-01,0.16227272727272727273
2010-05-01,0.16000000000000000000
2010-06-01,0.12363636363636363636
2010-07-01,0.15761904761904761905
2010-08-01,0.15500000000000000000
2010-09-01,0.15190476190476190476
2010-10-01,0.13450000000000000000
2010-11-01,0.14300000000000000000
2010-12-01,0.14090909090909090909
2011-01-01,0.15200000000000000000
2011-02-01,0.13210526315789473684
2011-03-01,0.10043478260869565217
2011-04-01,0.05850000000000000000
2011-05-01,0.04095238095238095238
2011-06-01,0.03727272727272727273
2011-07-01,0.03750000000000000000
2011-08-01,0.02434782608695652174
2011-09-01,0.01380952380952380952
2011-10-01,0.01900000000000000000
2011-11-01,0.01400000000000000000
2011-12-01,0.01142857142857142857
2012-01-01,0.03450000000000000000
2012-02-01,0.09200000000000000000
2012-03-01,0.08409090909090909091
2012-04-01,0.08380952380952380952
2012-05-01,0.08954545454545454545
2012-06-01,0.09142857142857142857
2012-07-01,0.09714285714285714286
2012-08-01,0.10260869565217391304
2012-09-01,0.10526315789473684211
2012-10-01,0.10476190476190476190
2012-11-01,0.09350000000000000000
2012-12-01,0.07000000000000000000
2013-01-01,0.07428571428571428571
2013-02-01,0.09894736842105263158
2013-03-01,0.08700000000000000000
2013-04-01,0.06000000000000000000
2013-05-01,0.04409090909090909091
2013-06-01,0.05050000000000000000
2013-07-01,0.03545454545454545455
2013-08-01,0.04363636363636363636
2013-09-01,0.01600000000000000000
2013-10-01,0.04727272727272727273
2013-11-01,0.06789473684210526316
2013-12-01,0.06666666666666666667
2014-01-01,0.04333333333333333333
2014-02-01,0.05263157894736842105
2014-03-01,0.05238095238095238095
2014-04-01,0.03095238095238095238
2014-05-01,0.03238095238095238095
2014-06-01,0.03571428571428571429
2014-07-01,0.02636363636363636364
2014-08-01,0.03285714285714285714
2014-09-01,0.02000000000000000000
2014-10-01,0.01681818181818181818
2014-11-01,0.02166666666666666667
2014-12-01,0.02909090909090909091
2015-01-01,0.02750000000000000000
2015-02-01,0.01789473684210526316
2015-03-01,0.02772727272727272727
2015-04-01,0.02318181818181818182
2015-05-01,0.01650000000000000000
2015-06-01,0.01500000000000000000
2015-07-01,0.03227272727272727273
2015-08-01,0.07190476190476190476
2015-09-01,0.02428571428571428571
2015-10-01,0.01666666666666666667
2015-11-01,0.12631578947368421053
2015-12-01,0.22863636363636363636
2016-01-01,0.25736842105263157895
2016-02-01,0.31450000000000000000
2016-03-01,0.29727272727272727273
2016-04-01,0.22809523809523809524
2016-05-01,0.27666666666666666667
2016-06-01,0.27272727272727272727
2016-07-01,0.30100000000000000000
2016-08-01,0.29956521739130434783
2016-09-01,0.29428571428571428571
2016-10-01,0.33150000000000000000
2016-11-01,0.45250000000000000000
2016-12-01,0.51190476190476190476
2017-01-01,0.51900000000000000000
2017-02-01,0.52631578947368421053
2017-03-01,0.74782608695652173913
2017-04-01,0.80842105263157894737
2017-05-01,0.90318181818181818182
2017-06-01,0.99909090909090909091
2017-07-01,1.0865000000000000
2017-08-01,1.03217391304347826087
2017-09-01,1.04650000000000000000
2017-10-01,1.0933333333333333
2017-11-01,1.2504761904761905
2017-12-01,1.3415000000000000
2018-01-01,1.4323809523809524
2018-02-01,1.5878947368421053
2018-03-01,1.7266666666666667
2018-04-01,1.7880952380952381
2018-05-01,1.8995454545454545
2018-06-01,1.9352380952380952
2018-07-01,1.9947619047619048
2018-08-01,2.0726086956521739
2018-09-01,2.1652631578947368
2018-10-01,2.2931818181818182
2018-11-01,2.3740000000000000
2018-12-01,2.4121052631578947
2019-01-01,2.4238095238095238
2019-02-01,2.4378947368421053
2019-03-01,2.4538095238095238
2019-04-01,2.4328571428571429
2019-05-01,2.4031818181818182
2019-06-01,2.2195000000000000
2019-07-01,2.1450000000000000
2019-08-01,1.9904545454545455
2019-09-01,1.9345000000000000
2019-10-01,1.6786363636363636
2019-11-01,1.5721052631578947
2019-12-01,1.5652380952380952
2020-01-01,1.5523809523809524
2020-02-01,1.5447368421052632
2020-03-01,0.29545454545454545455
2020-04-01,0.13809523809523809524
2020-05-01,0.12750000000000000000
2020-06-01,0.15954545454545454545
2020-07-01,0.12681818181818181818
2020-08-01,0.10428571428571428571
2020-09-01,0.10857142857142857143
2020-10-01,0.10047619047619047619
2020-11-01,0.09105263157894736842
2020-12-01,0.08727272727272727273
2021-01-01,0.08368421052631578947
2021-02-01,0.04263157894736842105
