DATE,POILBREUSDM
2010-01-01,76.412380952381
2010-02-01,74.312
2010-03-01,79.2747826086956
2010-04-01,84.9286363636364
2010-05-01,76.2509523809524
2010-06-01,74.8381818181818
2010-07-01,74.7354545454545
2010-08-01,76.6931818181818
2010-09-01,77.7868181818182
2010-10-01,82.9180952380952
2010-11-01,85.67
2010-12-01,91.7965217391304
2011-01-01,96.2947619047619
2011-02-01,103.955
2011-03-01,114.441304347826
2011-04-01,123.150476190476
2011-05-01,114.458181818182
2011-06-01,113.757727272727
2011-07-01,116.460952380952
2011-08-01,110.081304347826
2011-09-01,112.446818181818
2011-10-01,109.469047619048
2011-11-01,110.504090909091
2011-12-01,107.97
2012-01-01,110.993636363636
2012-02-01,119.702380952381
2012-03-01,124.928636363636
2012-04-01,120.590952380952
2012-05-01,110.521739130435
2012-06-01,95.5890476190476
2012-07-01,103.140909090909
2012-08-01,113.34
2012-09-01,113.3825
2012-10-01,111.97347826087
2012-11-01,109.711818181818
2012-12-01,109.64
2013-01-01,112.928695652174
2013-02-01,116.455
2013-03-01,109.24
2013-04-01,102.875454545455
2013-05-01,103.026956521739
2013-06-01,103.11
2013-07-01,107.716086956522
2013-08-01,110.965
2013-09-01,111.621428571429
2013-10-01,109.479130434783
2013-11-01,108.076666666667
2013-12-01,110.633636363636
2014-01-01,107.570434782609
2014-02-01,108.812
2014-03-01,107.405714285714
2014-04-01,107.875454545455
2014-05-01,109.675909090909
2014-06-01,111.868571428571
2014-07-01,106.983043478261
2014-08-01,101.922380952381
2014-09-01,97.3363636363636
2014-10-01,87.2695652173913
2014-11-01,78.438
2014-12-01,62.1630434782609
2015-01-01,48.4168181818182
2015-02-01,57.9305
2015-03-01,55.7913636363636
2015-04-01,59.3895454545454
2015-05-01,64.5614285714286
2015-06-01,62.3459090909091
2015-07-01,55.8656521739131
2015-08-01,46.9942857142857
2015-09-01,47.2345454545455
2015-10-01,48.1240909090909
2015-11-01,44.4171428571429
2015-12-01,37.7217391304348
2016-01-01,30.8033333333333
2016-02-01,33.1980952380952
2016-03-01,39.0717391304348
2016-04-01,42.247619047619
2016-05-01,47.1327272727273
2016-06-01,48.4781818181818
2016-07-01,45.0709523809524
2016-08-01,46.1443478260869
2016-09-01,46.1886363636364
2016-10-01,49.732380952381
2016-11-01,46.4359090909091
2016-12-01,54.0663636363636
2017-01-01,54.8927272727273
2017-02-01,55.4935
2017-03-01,51.9682608695652
2017-04-01,53.0635
2017-05-01,50.8708695652174
2017-06-01,46.8945454545455
2017-07-01,48.69
2017-08-01,51.3695652173913
2017-09-01,55.1628571428571
2017-10-01,57.6177272727273
2017-11-01,62.5754545454545
2017-12-01,64.2119047619048
2018-01-01,68.9865217391304
2018-02-01,65.422
2018-03-01,66.4454545454545
2018-04-01,71.627619047619
2018-05-01,76.6469565217391
2018-06-01,75.1914285714286
2018-07-01,74.4377272727273
2018-08-01,73.1286956521739
2018-09-01,78.86
2018-10-01,80.4704347826087
2018-11-01,65.1736363636364
2018-12-01,56.4638095238095
2019-01-01,59.2726086956522
2019-02-01,64.134
2019-03-01,66.4109523809524
2019-04-01,71.1968181818182
2019-05-01,70.5265217391304
2019-06-01,63.296
2019-07-01,64
2019-08-01,59.2472727272727
2019-09-01,62.33
2019-10-01,59.37
2019-11-01,62.7442857142857
2019-12-01,65.8545454545455
2020-01-01,63.6021739130435
2020-02-01,55.0035
2020-03-01,32.9818181818182
2020-04-01,23.3372727272727
2020-05-01,31.0247619047619
2020-06-01,39.9272727272727
2020-07-01,42.8134782608696
2020-08-01,44.2571428571429
2020-09-01,41.0854545454545
2020-10-01,40.47
2020-11-01,43.2242857142857
2020-12-01,49.854347826087
2021-01-01,54.5514285714286
